,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
2078,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2079,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2080,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2081,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 113나8787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169719&gubun=I,2021.07,"7,700 km",가솔린,"2,981 cc (458마력)",은색 (GT 실버),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2082,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 349나2001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202959&gubun=I,2021.06,200 km,가솔린,"2,981 cc (458마력)",자주색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,무,유,무,유,유,유,미등록,,,,,,,,,
2083,포르쉐 911 7세대  카레라 4S 카브리올레 -???,차량번호 65버0784,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205328&gubun=I,2014.11?(15년형),"88,500 km",가솔린,"3,800 cc (400마력)",갈색,불가,[가격상담],준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
2084,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2085,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2086,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2087,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2088,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2089,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2090,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2091,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2092,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2093,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2094,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2095,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2096,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2097,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
2098,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2099,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2100,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2101,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 113나8787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169719&gubun=I,2021.07,"7,700 km",가솔린,"2,981 cc (458마력)",은색 (GT 실버),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2102,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 349나2001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202959&gubun=I,2021.06,200 km,가솔린,"2,981 cc (458마력)",자주색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,무,유,무,유,유,유,미등록,,,,,,,,,
2103,포르쉐 911 7세대  카레라 4S 카브리올레 -???,차량번호 65버0784,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205328&gubun=I,2014.11?(15년형),"88,500 km",가솔린,"3,800 cc (400마력)",갈색,불가,[가격상담],준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
2104,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2105,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2106,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2107,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2108,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2109,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2110,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2111,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2112,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2113,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2114,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2115,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2116,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2117,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
2118,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2119,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2120,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2121,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 113나8787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169719&gubun=I,2021.07,"7,700 km",가솔린,"2,981 cc (458마력)",은색 (GT 실버),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2122,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 349나2001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202959&gubun=I,2021.06,200 km,가솔린,"2,981 cc (458마력)",자주색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,무,유,무,유,유,유,미등록,,,,,,,,,
2123,포르쉐 911 7세대  카레라 4S 카브리올레 -???,차량번호 65버0784,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205328&gubun=I,2014.11?(15년형),"88,500 km",가솔린,"3,800 cc (400마력)",갈색,불가,[가격상담],준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
2124,포르쉐 911 8세대  타르가 4S 헤리티지 디자인 에디션???,차량번호 100구5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205364&gubun=I,2021.03,"7,244 km",가솔린,"2,981 cc (458마력)",기타색상 (체리 레드 메탈릭),"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2125,포르쉐 911 8세대  GT3 투어링 -???,차량번호 334노3351,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2183584&gubun=I,2022.05,"2,159 km",가솔린,"3,996 cc (510마력)",기타색상,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2126,포르쉐 911 7세대  R -???,차량번호 257가8888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184915&gubun=I,2019.09?(16년형),"3,349 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2127,포르쉐 911 8세대  카레라 4S -???,차량번호 206우5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190006&gubun=I,2020.03,"12,100 km",가솔린,"2,981 cc (450마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2128,포르쉐 911 8세대  GT3 투어링 -???,차량번호 352어4767,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192427&gubun=I,2022.05,"7,564 km",가솔린,"3,996 cc (510마력)",진회색 (아게이트 그레이),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2129,포르쉐 911 7세대  GT3 RS -???,차량번호 37조5800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199662&gubun=I,2017.05?(16년형),"29,455 km",가솔린,"3,996 cc (500마력)",흰색,불가,[가격상담],준비중,,,,,,,,,,,미등록,,,,,,,,,
2130,포르쉐 911 6세대  카레라 4S -???,차량번호 64저6818,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193391&gubun=I,2010.10?(11년형),"127,000 km",가솔린,"3,800 cc (385마력)",흰색,불가,"6,300만원",35,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
2131,포르쉐 911 7세대  카레라 4 GTS 카브리올레 -???,차량번호 320오7805,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184525&gubun=I,2019.03,"38,000 km",가솔린,"2,981 cc (450마력)",검정색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
2132,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 153루9826,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167343&gubun=I,2021.11?(22년형),"4,276 km",가솔린,"2,981 cc (458마력)",청색 (나이트블루 메탈릭),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2133,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 287너4353,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174722&gubun=I,2020.04,"4,112 km",가솔린,"2,981 cc (450마력)",파란색 (젤라틴 블루),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2134,포르쉐 911 7세대  카레라 GTS 카브리올레 -???,차량번호 69마4444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2186965&gubun=I,2018.11?(19년형),"41,046 km",가솔린,"2,981 cc (450마력)",빨간색,만료,[가격상담],준비중,무,무,유,무,유,유,무,유,무,무,등록,,,,,,,,,
2135,포르쉐 911 7세대  터보 카브리올레 -???,차량번호 374저7689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2131901&gubun=I,2015.12,"52,000 km",가솔린,"3,800 cc (520마력)",흰색,불가,"13,300만원",57,,,,,,,,,,,미등록,,,,,,,,,
2136,포르쉐 911 8세대  카레라 4S 카브리올레 -???,차량번호 151마7570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204732&gubun=I,2022.12,"3,278 km",가솔린,"2,981 cc (458마력)",회색 (아게이트 그레이),"48개월 / 999,999km","24,390만원",126,,,,,,,,,,,등록,,,,,,,,,
2137,포르쉐 911 7세대  카레라 S 카브리올레 -???,차량번호 18다7086,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203621&gubun=I,2013.03,"69,000 km",가솔린,"3,800 cc (400마력)",흰색,만료,"9,890만원",63,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
2138,포르쉐 911 8세대  카레라 S 카브리올레 -???,차량번호 268고3884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190191&gubun=I,2020.07,"36,000 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km","16,900만원",96,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
2139,포르쉐 911 8세대  카레라 S -???,차량번호 158마5848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201385&gubun=I,2020.05,"25,895 km",가솔린,"2,981 cc (450마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,유,무,유,무,유,유,유,유,유,유,등록,,,,,,,,,
2140,포르쉐 911 8세대  타르가 4 GTS 50주년 포르쉐 디자인???,차량번호 237버8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199856&gubun=I,2023.03,18 km,가솔린,"2,981 cc (490마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,무,유,무,유,유,유,유,유,유,미등록,,,,,,,,,
